Iteration, Cost, Drag, Lift, Volume, Fx, Fy, Fz
92,1.53012e-06,1.53012e-06,1.71044e-10,0.0313177,1.53012e-06,1.71044e-10,5.64641e-25
93,1.51796e-06,1.51796e-06,1.67351e-10,0.0313177,1.51796e-06,1.67351e-10,-6.63655e-26
94,1.506e-06,1.506e-06,1.63744e-10,0.0313177,1.506e-06,1.63744e-10,1.26722e-24
95,1.49425e-06,1.49425e-06,1.60244e-10,0.0313177,1.49425e-06,1.60244e-10,-6.87027e-26
96,1.48269e-06,1.48269e-06,1.56812e-10,0.0313177,1.48269e-06,1.56812e-10,-9.70446e-27
97,1.47132e-06,1.47132e-06,1.53481e-10,0.0313177,1.47132e-06,1.53481e-10,-3.34469e-25
98,1.46014e-06,1.46014e-06,1.50218e-10,0.0313177,1.46014e-06,1.50218e-10,9.1787e-25
99,1.44914e-06,1.44914e-06,1.47064e-10,0.0313177,1.44914e-06,1.47064e-10,-4.92105e-25
100,1.43832e-06,1.43832e-06,1.43976e-10,0.0313177,1.43832e-06,1.43976e-10,-1.6799e-25
101,1.42767e-06,1.42767e-06,1.40977e-10,0.0313177,1.42767e-06,1.40977e-10,-2.67254e-25
102,1.41719e-06,1.41719e-06,1.38041e-10,0.0313177,1.41719e-06,1.38041e-10,4.87129e-25
103,1.40688e-06,1.40688e-06,1.35187e-10,0.0313177,1.40688e-06,1.35187e-10,-5.2706e-25
104,1.39672e-06,1.39672e-06,1.32392e-10,0.0313177,1.39672e-06,1.32392e-10,-2.536e-26
105,1.38673e-06,1.38673e-06,1.2967e-10,0.0313177,1.38673e-06,1.2967e-10,9.27087e-25
106,1.37688e-06,1.37688e-06,1.27019e-10,0.0313177,1.37688e-06,1.27019e-10,5.14488e-25
107,1.36718e-06,1.36718e-06,1.24428e-10,0.0313177,1.36718e-06,1.24428e-10,-2.13136e-25
108,1.35763e-06,1.35763e-06,1.21958e-10,0.0313177,1.35763e-06,1.21958e-10,4.81549e-25
109,1.34823e-06,1.34823e-06,1.19428e-10,0.0313177,1.34823e-06,1.19428e-10,1.37643e-25
110,1.33896e-06,1.33896e-06,1.17014e-10,0.0313177,1.33896e-06,1.17014e-10,-6.48753e-25
111,1.32983e-06,1.32983e-06,1.14658e-10,0.0313177,1.32983e-06,1.14658e-10,-3.84193e-25
112,1.32083e-06,1.32083e-06,1.12414e-10,0.0313177,1.32083e-06,1.12414e-10,1.11165e-25
113,1.31196e-06,1.31196e-06,1.10116e-10,0.0313177,1.31196e-06,1.10116e-10,-1.86131e-26
114,1.30322e-06,1.30322e-06,1.07917e-10,0.0313177,1.30322e-06,1.07917e-10,1.54785e-25
115,1.2946e-06,1.2946e-06,1.05763e-10,0.0313177,1.2946e-06,1.05763e-10,-6.88304e-26
116,1.2861e-06,1.2861e-06,1.0367e-10,0.0313177,1.2861e-06,1.0367e-10,2.64053e-25
117,1.27773e-06,1.27773e-06,1.01615e-10,0.0313177,1.27773e-06,1.01615e-10,5.889e-25
118,1.26947e-06,1.26947e-06,9.96156e-11,0.0313177,1.26947e-06,9.96156e-11,3.85848e-25
119,1.26132e-06,1.26132e-06,9.76517e-11,0.0313177,1.26132e-06,9.76517e-11,1.18947e-24
120,1.25328e-06,1.25328e-06,9.5743e-11,0.0313177,1.25328e-06,9.5743e-11,2.32632e-25
121,1.24536e-06,1.24536e-06,9.38669e-11,0.0313177,1.24536e-06,9.38669e-11,-2.07831e-25
122,1.23754e-06,1.23754e-06,9.20414e-11,0.0313177,1.23754e-06,9.20414e-11,2.66842e-25
123,1.22983e-06,1.22983e-06,9.02457e-11,0.0313177,1.22983e-06,9.02457e-11,-2.92196e-25
124,1.22222e-06,1.22222e-06,8.85035e-11,0.0313177,1.22222e-06,8.85035e-11,-3.33826e-25
125,1.21471e-06,1.21471e-06,8.67845e-11,0.0313177,1.21471e-06,8.67845e-11,-3.68627e-25
126,1.20729e-06,1.20729e-06,8.51132e-11,0.0313177,1.20729e-06,8.51132e-11,3.08548e-25
